address,chain_id,owner,token_id,token_uri,contract_type
0xEe6844414A74B973c199372eDc49ceC8e5195Cb8,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,bafybeigpzowyq5464vugisbcdmqhkyi65ipxgioaslg4u,ERC1155
0xEc499ce33Fc953607e38091ccd5caeE7a7b907Ff,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,QmYmam3rwWonnLP7HE6ZTYhbFMW1ecd9mP5D13cqkhgiVk,ERC1155
0xebd425E02EEE2Bf789270b792069124FF1DA247d,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,QmYSoPyrhfJjCYHHAX4RBhYH6ozr8ThB6hYm88QuhzTHnn,ERC1155
0xeb0C4a04b94a5dc4AE5C0B04eAe254E76f1800d3,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,Qma61G4VsU2RnNL4egkT9rHrc5HFvveAZXkuKho5NdTknd,ERC1155
0xE8356416d140C732305d08a8D2d01ac5747fac07,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,bafybeigj5irwfvqkvoimyzjhslgxquhuiccpya3hvepvq,ERC1155
0xe8148f286dD827c0Df5d14E1279F33919205Ac7a,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,QmThUEfjcVKe5D58DvSfKiVxnhgt1TCNdj4bQGvzh1jUmc,ERC1155
0xE7E46D14179c8AF5e8e044a9C245c44577dbED13,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,QmXsdkAyWWoZdubVReQ3AAWPZySVE2HbDwsuoT3bRThBVc,ERC1155
0xe55B8B77e3ACe3ACA01aF2d083cd8627b432FdeA,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,bafybeiahpo3mk6sm3nuhkzf4ac4q62dlrazadruo3ynb6,ERC1155
0xE31BE6DcB1E50a57eB82e5DcB535918f9EBd3688,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,QmaR7SwyHXwxnngfGCJK5FY7vwH4Wai2e4ZpLceqXePVD8,ERC1155
0xe1eFBc739dA4fDC18832a5D5b8D5ea5F02E3F042,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,0,Qmb9FSv8JCc1uUB5gMjnXF7NprE1hbyLnTShQxcwwA3DoV,ERC1155
0xE188321F25aBd17af1795eF84507AD83F9fd0464,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,QmaTBdjjx5TWAoEHFBEXNociHgppfzUPfAyjD3C5pc3X9X,ERC1155
0xDE843B4896929c270496a1033acBB720E1Eb9497,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,QmTLG6DCpVpGUEymwzA897sVtn9qXZPyyEZ6W2s55UfDrN,ERC1155
0xDd21669a56738112Cf9C8050a70362865EbDb685,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,QmRVfHLDwtupaoPFGnAC9Rah6K4aWe78bdfHpR3bKsjiCT,ERC1155
0xdCc647E40DC000B0C8D83BeCb2A25050B12f09cB,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,bafybeigtsc6afnzqqsxpezf25m74kkb2xv7llddizjsxa,ERC1155
0xDbA827DF283433Cd625487d0744F2141b3f3177f,137,0xDeaDDEaDDeAdDeAdDEAdDEaddeAddEAdDEAd0001,1,bafybeihjrxsncutsxjdd76tbh25kmbjvqr5cs7yu6yeze,ERC1155
